
Episode Report #1 -------
EXP_STEP 	 episode	 #step 	 r_episode 	   fps	  T_env	T_agent	  ROUND	 g-fps	AGENT_T	 active	T_actor	   T_mt	 DCNN_EPOCH 	 weight_avg 	 delta_avg 	 L1 	 acc. 	 T_fp 	 T_bp 	 T_sgd 	T_batch	
  11637		     26 	  485.0	   225.000	  10.3	   31.6	   65.6	     26	  51.4	  11637	  0.056	   61.6	    0.6	   1659 	 2.52e-002 	 7.18e-005 	 1.691 	 75.6% 	 15.6 	 25.0 	 1.6 	 386.3 	
  12113		     27 	  476.0	   170.000	  11.3	   29.3	   58.7	     27	  56.7	  12113	  0.057	   54.1	    0.6	   1778 	 2.52e-002 	 4.69e-005 	 1.831 	 76.2% 	 15.6 	 24.5 	 1.7 	 351.7 	
  12461		     28 	  348.0	   135.000	  11.8	   26.0	   58.4	     28	  59.0	  12461	  0.046	   53.8	    0.5	   1865 	 2.52e-002 	 4.74e-005 	 1.616 	 76.6% 	 14.3 	 22.8 	 1.7 	 336.2 	
  12745		     29 	  284.0	    60.000	  11.7	   31.0	   53.2	     29	  59.1	  12745	  0.070	   49.8	    0.5	   1936 	 2.53e-002 	 3.35e-005 	 1.577 	 76.2% 	 15.3 	 23.3 	 1.6 	 335.6 	
  13067		     30 	  322.0	    55.000	  14.7	   21.6	   45.5	     30	  73.9	  13067	  0.075	   41.4	    0.4	   2016 	 2.53e-002 	 3.39e-005 	 1.797 	 76.3% 	 13.0 	 21.5 	 1.4 	 268.9 	
  13332		     31 	  265.0	    75.000	  14.8	   21.5	   45.7	     31	  74.1	  13332	  0.053	   43.0	    0.4	   2082 	 2.53e-002 	 5.04e-005 	 2.089 	 75.4% 	 13.3 	 21.5 	 1.5 	 268.9 	
  13854		     32 	  522.0	   135.000	  14.8	   22.7	   45.3	     32	  73.5	  13854	  0.082	   41.2	    0.4	   2213 	 2.53e-002 	 5.36e-005 	 1.609 	 75.0% 	 13.0 	 21.0 	 1.5 	 270.9 	
  14144		     33 	  290.0	    35.000	  14.7	   23.9	   43.1	     33	  74.2	  14144	  0.076	   40.3	    0.4	   2285 	 2.53e-002 	 5.20e-005 	 1.524 	 76.1% 	 13.0 	 20.4 	 1.6 	 268.2 	
  14510		     34 	  366.0	   210.000	  14.9	   23.0	   44.3	     34	  74.3	  14510	  0.077	   41.3	    0.5	   2377 	 2.53e-002 	 4.27e-005 	 1.521 	 74.8% 	 13.1 	 21.5 	 1.4 	 267.8 	
  15005		     35 	  495.0	   255.000	  14.9	   19.5	   47.5	     35	  74.5	  15005	  0.081	   42.8	    0.5	   2501 	 2.54e-002 	 4.71e-005 	 1.844 	 76.6% 	 12.8 	 21.7 	 1.5 	 268.4 	
  15224		     36 	  219.0	    65.000	  14.7	   19.3	   47.5	     36	  73.6	  15224	  0.110	   43.9	    0.5	   2555 	 2.54e-002 	 4.95e-005 	 1.571 	 74.2% 	 13.0 	 21.8 	 1.5 	 268.7 	
  15515		     37 	  291.0	   120.000	  14.6	   25.7	   43.0	     37	  72.8	  15515	  0.072	   39.3	    0.5	   2628 	 2.54e-002 	 4.00e-005 	 1.393 	 73.9% 	 13.5 	 21.4 	 1.7 	 273.3 	
  15974		     38 	  459.0	   475.000	  14.9	   23.0	   44.5	     38	  74.1	  15974	  0.105	   41.3	    0.5	   2743 	 2.54e-002 	 3.99e-005 	 1.802 	 73.5% 	 12.9 	 21.6 	 1.7 	 268.9 	
  16365		     39 	  391.0	   135.000	  14.9	   23.9	   42.7	     39	  74.9	  16365	  0.092	   39.5	    0.4	   2841 	 2.54e-002 	 3.91e-005 	 1.622 	 74.8% 	 13.0 	 20.6 	 1.3 	 266.1 	
  16632		     40 	  267.0	    85.000	  15.0	   22.4	   43.8	     40	  75.0	  16632	  0.124	   39.9	    0.4	   2907 	 2.54e-002 	 6.61e-005 	 1.801 	 74.4% 	 12.9 	 19.2 	 1.6 	 266.0 	
  17250		     41 	  618.0	   525.000	  14.9	   22.1	   44.9	     41	  74.6	  17250	  0.121	   41.3	    0.4	   3062 	 2.55e-002 	 4.21e-005 	 1.739 	 74.7% 	 13.1 	 20.4 	 1.4 	 266.8 	
