
Episode Report #1 -------
EXP_STEP 	 episode	 #step 	 r_episode 	   fps	  T_env	T_agent	  ROUND	 g-fps	AGENT_T	 active	T_actor	   T_mt	 DCNN_EPOCH 	 weight_avg 	 delta_avg 	 L1 	 acc. 	 T_fp 	 T_bp 	 T_sgd 	T_batch	
 264304		    682 	  363.0	   185.000	  15.1	   23.6	   41.9	    682	  75.6	 264304	  0.912	   38.9	    0.4	  64825 	 5.22e-002 	 1.16e-004 	 2.419 	 66.1% 	 12.5 	 7.6 	 2.0 	 262.5 	
 264571		    683 	  267.0	    80.000	  15.1	   21.8	   44.4	    683	  75.4	 264571	  0.914	   40.0	    0.4	  64892 	 5.23e-002 	 7.52e-005 	 2.120 	 67.2% 	 12.5 	 8.5 	 2.1 	 264.0 	
 264854		    684 	  283.0	   150.000	  15.6	   21.4	   42.9	    684	  77.5	 264854	  0.905	   39.2	    0.4	  64963 	 5.23e-002 	 1.25e-004 	 2.354 	 67.6% 	 12.7 	 7.7 	 1.9 	 256.4 	
 265193		    685 	  339.0	   155.000	  15.0	   20.4	   45.9	    685	  75.2	 265193	  0.909	   40.9	    0.4	  65048 	 5.23e-002 	 7.78e-005 	 2.283 	 67.2% 	 12.8 	 7.9 	 2.3 	 262.9 	
 265696		    686 	  503.0	   660.000	  15.3	   20.8	   44.3	    686	  76.6	 265696	  0.891	   39.0	    0.4	  65173 	 5.24e-002 	 7.74e-005 	 2.237 	 66.9% 	 12.7 	 7.5 	 2.2 	 260.5 	
 265900		    687 	  204.0	    95.000	  15.2	   24.4	   41.1	    687	  76.2	 265900	  0.931	   36.1	    0.4	  65224 	 5.24e-002 	 1.03e-004 	 2.282 	 66.1% 	 12.7 	 7.8 	 2.1 	 261.4 	
 266113		    688 	  213.0	    95.000	  15.5	   20.7	   44.5	    688	  76.7	 266113	  0.873	   39.0	    0.4	  65278 	 5.24e-002 	 8.91e-005 	 2.422 	 65.2% 	 12.5 	 7.4 	 1.9 	 258.5 	
 266720		    689 	  607.0	   335.000	  15.2	   22.4	   42.9	    689	  76.4	 266720	  0.890	   37.8	    0.4	  65429 	 5.25e-002 	 1.04e-004 	 2.298 	 67.6% 	 12.7 	 8.0 	 2.0 	 261.3 	
 267213		    690 	  493.0	   460.000	  15.2	   19.3	   46.7	    690	  75.7	 267213	  0.899	   42.1	    0.4	  65553 	 5.25e-002 	 8.46e-005 	 2.342 	 66.0% 	 12.4 	 7.9 	 2.0 	 262.6 	
 267898		    691 	  685.0	   615.000	  15.4	   21.3	   43.6	    691	  76.9	 267898	  0.880	   39.7	    0.4	  65724 	 5.26e-002 	 8.21e-005 	 2.335 	 66.2% 	 12.4 	 7.9 	 2.0 	 259.0 	
 268274		    692 	  376.0	   260.000	  15.3	   22.7	   42.5	    692	  76.4	 268274	  0.896	   38.5	    0.4	  65818 	 5.26e-002 	 1.03e-004 	 2.249 	 66.7% 	 12.6 	 7.7 	 1.9 	 259.6 	
 268472		    693 	  198.0	    95.000	  14.9	   21.6	   44.6	    693	  75.3	 268472	  0.894	   40.2	    0.4	  65867 	 5.26e-002 	 1.20e-004 	 2.242 	 66.1% 	 12.7 	 7.7 	 2.1 	 264.7 	
 268877		    694 	  405.0	   270.000	  15.3	   19.7	   45.8	    694	  76.3	 268877	  0.931	   41.3	    0.4	  65969 	 5.27e-002 	 9.17e-005 	 2.701 	 67.6% 	 12.4 	 7.6 	 2.0 	 261.1 	
 269129		    695 	  252.0	    95.000	  15.4	   21.7	   43.0	    695	  76.5	 269129	  0.885	   38.2	    0.4	  66032 	 5.27e-002 	 1.11e-004 	 2.437 	 67.1% 	 12.7 	 7.6 	 2.2 	 257.5 	
 269405		    696 	  276.0	   150.000	  15.4	   23.3	   41.4	    696	  77.1	 269405	  0.917	   37.1	    0.4	  66101 	 5.27e-002 	 7.06e-005 	 2.562 	 65.4% 	 12.4 	 8.3 	 1.8 	 258.2 	
 269643		    697 	  238.0	   120.000	  15.6	   20.5	   42.5	    697	  78.7	 269643	  0.853	   38.7	    0.4	  66160 	 5.27e-002 	 8.49e-005 	 2.159 	 66.5% 	 12.2 	 7.8 	 1.9 	 250.7 	
 270156		    698 	  513.0	   455.000	  15.1	   19.6	   46.5	    698	  75.5	 270156	  0.916	   40.9	    0.4	  66288 	 5.28e-002 	 8.51e-005 	 2.328 	 66.5% 	 12.4 	 8.1 	 2.1 	 263.2 	
 270655		    699 	  499.0	   285.000	  15.2	   21.5	   44.2	    699	  76.2	 270655	  0.908	   39.7	    0.4	  66413 	 5.28e-002 	 1.06e-004 	 2.298 	 67.3% 	 12.4 	 7.8 	 2.2 	 261.5 	
 270843		    700 	  188.0	    95.000	  14.9	   24.6	   42.5	    700	  74.4	 270843	  0.915	   37.6	    0.4	  66460 	 5.28e-002 	 9.75e-005 	 2.436 	 69.1% 	 12.7 	 8.1 	 2.0 	 265.6 	
 271394		    701 	  551.0	   310.000	  15.1	   22.0	   44.3	    701	  75.3	 271394	  0.918	   39.1	    0.4	  66598 	 5.29e-002 	 7.01e-005 	 2.191 	 66.7% 	 12.6 	 7.6 	 2.1 	 263.8 	
 271601		    702 	  207.0	   125.000	  15.2	   24.6	   40.7	    702	  76.3	 271601	  0.903	   35.9	    0.4	  66650 	 5.29e-002 	 7.42e-005 	 2.415 	 65.9% 	 12.5 	 7.8 	 2.2 	 259.9 	
 271981		    703 	  380.0	   195.000	  15.1	   22.7	   42.8	    703	  75.9	 271981	  0.924	   38.3	    0.4	  66745 	 5.29e-002 	 7.92e-005 	 2.305 	 65.2% 	 12.7 	 7.3 	 2.2 	 261.9 	
 272345		    704 	  364.0	   240.000	  15.3	   23.9	   41.1	    704	  76.3	 272345	  0.912	   37.8	    0.4	  66836 	 5.30e-002 	 5.84e-005 	 2.120 	 67.2% 	 12.6 	 7.8 	 2.1 	 259.8 	
 272540		    705 	  195.0	   125.000	  15.3	   21.5	   42.6	    705	  77.2	 272540	  0.933	   37.8	    0.4	  66884 	 5.30e-002 	 9.18e-005 	 2.140 	 68.8% 	 12.3 	 7.6 	 2.0 	 256.5 	
 273106		    706 	  566.0	   285.000	  15.0	   22.5	   44.4	    706	  74.8	 273106	  0.906	   39.7	    0.4	  67026 	 5.30e-002 	 9.45e-005 	 2.254 	 67.0% 	 12.7 	 7.7 	 2.1 	 266.1 	
 273551		    707 	  445.0	   305.000	  15.4	   22.1	   42.6	    707	  77.2	 273551	  0.917	   37.8	    0.4	  67137 	 5.31e-002 	 8.13e-005 	 2.314 	 66.0% 	 12.6 	 7.6 	 2.2 	 258.0 	
 274163		    708 	  612.0	   285.000	  15.2	   22.2	   43.4	    708	  76.2	 274163	  0.912	   38.8	    0.4	  67290 	 5.31e-002 	 1.08e-004 	 2.413 	 66.5% 	 12.7 	 8.0 	 2.1 	 262.0 	
 274478		    709 	  315.0	   215.000	  15.2	   21.7	   43.9	    709	  76.0	 274478	  0.898	   39.5	    0.4	  67369 	 5.32e-002 	 8.87e-005 	 2.459 	 65.7% 	 12.5 	 7.4 	 2.2 	 260.5 	
 274791		    710 	  313.0	   155.000	  15.4	   21.9	   42.6	    710	  77.4	 274791	  0.914	   37.9	    0.4	  67447 	 5.32e-002 	 8.36e-005 	 2.379 	 65.9% 	 12.6 	 7.6 	 2.0 	 256.8 	
 275469		    711 	  678.0	   300.000	  15.4	   21.4	   43.6	    711	  77.0	 275469	  0.891	   38.9	    0.4	  67617 	 5.32e-002 	 9.28e-005 	 2.283 	 66.6% 	 12.6 	 7.8 	 2.0 	 259.4 	
 276002		    712 	  533.0	   265.000	  15.1	   21.6	   44.0	    712	  75.4	 276002	  0.884	   39.3	    0.4	  67750 	 5.33e-002 	 9.55e-005 	 2.279 	 66.9% 	 12.6 	 7.7 	 2.0 	 263.2 	
 276524		    713 	  522.0	   310.000	  15.4	   23.0	   41.8	    713	  77.0	 276524	  0.912	   36.6	    0.4	  67880 	 5.33e-002 	 8.43e-005 	 2.309 	 66.7% 	 12.8 	 7.3 	 2.0 	 259.5 	
 276994		    714 	  470.0	   310.000	  14.8	   22.4	   45.4	    714	  73.7	 276994	  0.900	   41.0	    0.4	  67998 	 5.34e-002 	 9.34e-005 	 2.333 	 66.0% 	 12.7 	 7.8 	 2.2 	 269.8 	
 277383		    715 	  389.0	   225.000	  15.3	   22.4	   42.5	    715	  76.9	 277383	  0.913	   38.4	    0.4	  68095 	 5.34e-002 	 1.06e-004 	 2.353 	 66.4% 	 12.6 	 7.4 	 2.1 	 259.6 	
 277875		    716 	  492.0	   230.000	  15.4	   20.3	   44.4	    716	  77.2	 277875	  0.882	   40.2	    0.4	  68218 	 5.34e-002 	 7.98e-005 	 2.353 	 67.6% 	 12.5 	 7.7 	 2.0 	 257.5 	
 278548		    717 	  673.0	   435.000	  15.3	   24.0	   41.3	    717	  76.6	 278548	  0.893	   37.3	    0.4	  68386 	 5.35e-002 	 9.70e-005 	 2.364 	 65.6% 	 12.7 	 7.5 	 2.1 	 260.3 	
 278864		    718 	  316.0	   165.000	  14.9	   23.0	   43.9	    718	  74.6	 278864	  0.902	   40.5	    0.4	  68465 	 5.35e-002 	 8.57e-005 	 2.438 	 65.8% 	 12.7 	 7.9 	 2.0 	 267.3 	
 279137		    719 	  273.0	   140.000	  15.5	   26.1	   38.7	    719	  77.1	 279137	  0.875	   34.8	    0.4	  68534 	 5.36e-002 	 7.64e-005 	 2.403 	 68.4% 	 12.7 	 7.4 	 1.9 	 257.4 	
 279544		    720 	  407.0	   225.000	  15.2	   22.8	   42.6	    720	  76.1	 279544	  0.912	   37.9	    0.4	  68635 	 5.36e-002 	 6.17e-005 	 2.323 	 65.7% 	 12.8 	 7.4 	 2.1 	 261.9 	
 279877		    721 	  333.0	   170.000	  15.3	   23.8	   41.5	    721	  76.5	 279877	  0.916	   37.1	    0.4	  68719 	 5.36e-002 	 1.04e-004 	 2.221 	 65.7% 	 12.6 	 7.8 	 2.2 	 260.6 	
 280388		    722 	  511.0	   335.000	  15.2	   25.1	   40.1	    722	  76.3	 280388	  0.886	   37.9	    0.4	  68846 	 5.37e-002 	 6.05e-005 	 2.410 	 66.3% 	 12.7 	 7.7 	 2.1 	 261.0 	
 280685		    723 	  297.0	   170.000	  15.3	   22.8	   42.4	    723	  76.6	 280685	  0.896	   37.8	    0.4	  68921 	 5.37e-002 	 9.26e-005 	 2.219 	 64.5% 	 12.6 	 7.1 	 2.1 	 260.1 	
 281088		    724 	  403.0	   270.000	  15.2	   21.2	   44.0	    724	  76.1	 281088	  0.911	   40.2	    0.4	  69021 	 5.37e-002 	 8.82e-005 	 2.306 	 65.7% 	 12.3 	 8.2 	 2.0 	 260.4 	
 281482		    725 	  394.0	   250.000	  15.1	   21.4	   45.1	    725	  75.1	 281482	  0.906	   39.9	    0.4	  69120 	 5.38e-002 	 1.14e-004 	 2.134 	 67.3% 	 12.6 	 8.1 	 2.1 	 264.7 	
 281877		    726 	  395.0	   200.000	  14.9	   20.1	   46.6	    726	  74.8	 281877	  0.889	   40.8	    0.4	  69219 	 5.38e-002 	 9.19e-005 	 2.214 	 67.6% 	 12.5 	 8.2 	 2.0 	 265.3 	
 282146		    727 	  269.0	    75.000	  15.4	   22.2	   42.5	    727	  76.6	 282146	  0.896	   37.0	    0.4	  69286 	 5.38e-002 	 7.06e-005 	 2.526 	 65.9% 	 12.4 	 8.0 	 1.9 	 258.1 	
 282485		    728 	  339.0	   170.000	  15.0	   23.0	   43.2	    728	  75.3	 282485	  0.912	   37.3	    0.4	  69371 	 5.38e-002 	 7.73e-005 	 2.226 	 65.7% 	 12.8 	 7.8 	 2.0 	 263.6 	
 282679		    729 	  194.0	    95.000	  15.0	   24.1	   41.4	    729	  75.4	 282679	  0.902	   39.7	    0.4	  69419 	 5.39e-002 	 9.21e-005 	 2.308 	 66.4% 	 12.6 	 8.1 	 2.3 	 262.1 	
 282977		    730 	  298.0	   170.000	  15.0	   21.9	   44.5	    730	  75.2	 282977	  0.913	   40.3	    0.4	  69494 	 5.39e-002 	 5.69e-005 	 2.212 	 66.2% 	 12.5 	 7.7 	 2.2 	 264.9 	
 283261		    731 	  284.0	   115.000	  15.2	   23.3	   42.0	    731	  75.5	 283261	  0.898	   37.1	    0.4	  69565 	 5.39e-002 	 8.68e-005 	 2.166 	 66.5% 	 12.8 	 8.0 	 2.2 	 260.1 	
 284106		    732 	  845.0	   600.000	  15.4	   22.1	   42.7	    732	  77.0	 284106	  0.889	   38.5	    0.4	  69776 	 5.40e-002 	 8.99e-005 	 2.452 	 67.1% 	 12.6 	 7.9 	 2.1 	 259.0 	
 284435		    733 	  329.0	   210.000	  15.0	   22.5	   43.8	    733	  75.3	 284435	  0.875	   39.4	    0.4	  69858 	 5.40e-002 	 1.19e-004 	 2.188 	 65.7% 	 12.6 	 8.8 	 2.2 	 263.3 	
 284811		    734 	  376.0	   240.000	  15.2	   24.3	   41.6	    734	  75.9	 284811	  0.904	   37.9	    0.4	  69952 	 5.41e-002 	 7.11e-005 	 2.397 	 67.0% 	 12.7 	 8.1 	 2.0 	 261.4 	
 285018		    735 	  207.0	    70.000	  15.2	   21.1	   44.8	    735	  75.7	 285018	  0.913	   40.6	    0.4	  70004 	 5.41e-002 	 9.21e-005 	 2.358 	 66.4% 	 12.4 	 8.4 	 2.0 	 262.8 	
 285421		    736 	  403.0	   240.000	  15.3	   19.2	   46.1	    736	  76.3	 285421	  0.903	   41.1	    0.4	  70105 	 5.41e-002 	 1.01e-004 	 2.335 	 66.7% 	 12.3 	 8.3 	 2.0 	 260.3 	
 285891		    737 	  470.0	   270.000	  15.2	   21.0	   44.4	    737	  76.1	 285891	  0.911	   40.9	    0.4	  70222 	 5.41e-002 	 1.03e-004 	 2.388 	 65.2% 	 12.5 	 7.7 	 2.0 	 261.2 	
 286222		    738 	  331.0	   135.000	  15.1	   22.3	   43.6	    738	  75.8	 286222	  0.873	   38.3	    0.4	  70305 	 5.42e-002 	 9.04e-005 	 2.315 	 66.4% 	 12.7 	 7.7 	 2.0 	 262.4 	
 286886		    739 	  664.0	   325.000	  15.2	   20.4	   45.2	    739	  76.1	 286886	  0.896	   39.3	    0.4	  70471 	 5.42e-002 	 6.88e-005 	 2.402 	 66.3% 	 12.5 	 7.6 	 2.2 	 262.0 	
 287580		    740 	  694.0	   545.000	  15.3	   21.5	   43.8	    740	  76.5	 287580	  0.890	   39.4	    0.4	  70644 	 5.43e-002 	 9.86e-005 	 2.261 	 67.5% 	 12.7 	 7.9 	 2.0 	 260.8 	
 288083		    741 	  503.0	   445.000	  15.3	   25.1	   40.3	    741	  76.5	 288083	  0.875	   37.0	    0.4	  70770 	 5.43e-002 	 8.96e-005 	 2.357 	 66.0% 	 12.7 	 7.4 	 2.1 	 260.7 	
 288678		    742 	  595.0	   515.000	  15.1	   23.0	   43.1	    742	  75.6	 288678	  0.928	   39.2	    0.4	  70919 	 5.44e-002 	 1.14e-004 	 2.348 	 66.9% 	 12.7 	 7.9 	 2.2 	 263.5 	
 289286		    743 	  608.0	   650.000	  15.2	   21.1	   44.7	    743	  75.8	 289286	  0.900	   40.2	    0.4	  71071 	 5.44e-002 	 1.10e-004 	 2.273 	 66.1% 	 12.3 	 7.8 	 2.0 	 262.6 	
 289713		    744 	  427.0	   245.000	  15.2	   19.5	   46.0	    744	  76.0	 289713	  0.918	   40.9	    0.4	  71178 	 5.45e-002 	 4.57e-005 	 2.449 	 66.8% 	 12.5 	 7.9 	 2.1 	 261.4 	
 289932		    745 	  219.0	   105.000	  15.1	   23.5	   41.7	    745	  76.0	 289932	  0.886	   37.6	    0.5	  71232 	 5.45e-002 	 9.44e-005 	 2.444 	 65.7% 	 12.4 	 7.7 	 2.1 	 260.9 	
 290221		    746 	  289.0	   135.000	  15.0	   22.1	   44.4	    746	  75.2	 290221	  0.862	   38.7	    0.4	  71305 	 5.45e-002 	 1.19e-004 	 2.406 	 66.9% 	 12.5 	 7.5 	 2.1 	 265.2 	
 290833		    747 	  612.0	   350.000	  14.7	   24.5	   43.2	    747	  73.5	 290833	  0.899	   39.3	    0.4	  71458 	 5.46e-002 	 8.93e-005 	 2.210 	 68.1% 	 12.9 	 8.2 	 2.3 	 270.7 	
 291070		    748 	  237.0	   115.000	  14.3	   23.9	   45.2	    748	  71.8	 291070	  0.932	   41.0	    0.5	  71517 	 5.46e-002 	 7.16e-005 	 2.341 	 65.6% 	 13.8 	 9.8 	 2.6 	 275.5 	
 291418		    749 	  348.0	   180.000	  15.2	   18.5	   47.0	    749	  76.1	 291418	  0.891	   41.7	    0.5	  71604 	 5.46e-002 	 9.88e-005 	 2.342 	 66.9% 	 12.6 	 7.1 	 2.5 	 261.3 	
 291928		    750 	  510.0	   255.000	  16.0	   15.9	   46.1	    750	  80.3	 291928	  0.902	   41.8	    0.4	  71731 	 5.47e-002 	 8.49e-005 	 2.456 	 66.7% 	 12.4 	 6.6 	 2.3 	 248.1 	
 292274		    751 	  346.0	   160.000	  14.5	   22.5	   46.8	    751	  72.1	 292274	  0.884	   43.3	    0.5	  71818 	 5.47e-002 	 8.79e-005 	 2.379 	 67.7% 	 12.8 	 10.6 	 2.2 	 275.2 	
 292963		    752 	  689.0	   425.000	  16.3	   21.5	   39.9	    752	  81.5	 292963	  0.907	   37.4	    0.5	  71990 	 5.48e-002 	 7.50e-005 	 2.425 	 66.2% 	 12.8 	 8.7 	 2.2 	 244.7 	
 293393		    753 	  430.0	   380.000	  14.8	   23.4	   44.6	    753	  73.6	 293393	  0.900	   40.4	    0.5	  72098 	 5.48e-002 	 8.33e-005 	 2.489 	 66.7% 	 13.6 	 10.8 	 2.3 	 269.7 	
 293758		    754 	  365.0	   225.000	  14.9	   20.4	   46.5	    754	  74.4	 293758	  0.912	   42.7	    0.5	  72189 	 5.48e-002 	 6.99e-005 	 2.526 	 66.6% 	 13.2 	 10.4 	 2.2 	 266.8 	
 294019		    755 	  261.0	   120.000	  16.2	   20.2	   40.6	    755	  81.8	 294019	  0.935	   37.4	    0.5	  72254 	 5.49e-002 	 1.28e-004 	 2.405 	 66.4% 	 12.4 	 8.7 	 2.1 	 243.1 	
 294251		    756 	  232.0	   150.000	  14.5	   21.6	   47.4	    756	  72.2	 294251	  0.853	   43.4	    0.5	  72312 	 5.49e-002 	 7.03e-005 	 2.444 	 66.2% 	 13.8 	 11.4 	 2.4 	 274.1 	
 294728		    757 	  477.0	   255.000	  13.0	   21.5	   55.2	    757	  65.2	 294728	  0.908	   50.2	    0.5	  72431 	 5.49e-002 	 9.05e-005 	 2.477 	 66.4% 	 14.6 	 12.5 	 2.3 	 305.9 	
 294968		    758 	  240.0	    80.000	  14.0	   24.0	   47.5	    758	  69.8	 294968	  0.933	   43.4	    0.5	  72491 	 5.50e-002 	 8.21e-005 	 2.342 	 67.7% 	 13.8 	 11.2 	 2.4 	 285.4 	
 295256		    759 	  288.0	   190.000	  15.3	   22.1	   43.2	    759	  76.5	 295256	  0.917	   39.3	    0.5	  72563 	 5.50e-002 	 1.29e-004 	 2.783 	 66.0% 	 12.8 	 9.5 	 2.2 	 260.5 	
 295752		    760 	  496.0	   310.000	  14.5	   21.6	   47.4	    760	  72.4	 295752	  0.907	   44.2	    0.5	  72687 	 5.50e-002 	 1.03e-004 	 2.479 	 65.9% 	 13.5 	 11.0 	 2.4 	 276.1 	
 296537		    761 	  785.0	   510.000	  15.6	   21.8	   42.3	    761	  77.8	 296537	  0.908	   39.4	    0.5	  72884 	 5.51e-002 	 8.43e-005 	 2.308 	 65.4% 	 12.8 	 8.9 	 2.2 	 255.6 	
 297094		    762 	  557.0	   510.000	  15.6	   21.6	   42.2	    762	  78.0	 297094	  0.901	   38.5	    0.5	  73023 	 5.51e-002 	 1.17e-004 	 2.447 	 66.0% 	 12.8 	 9.9 	 2.4 	 254.1 	
 297631		    763 	  537.0	   505.000	  12.3	   23.3	   58.2	    763	  61.4	 297631	  0.912	   53.5	    0.5	  73157 	 5.52e-002 	 9.25e-005 	 2.218 	 66.6% 	 14.7 	 13.1 	 2.4 	 325.0 	
 298248		    764 	  617.0	   345.000	  13.6	   26.4	   46.9	    764	  68.2	 298248	  0.877	   43.5	    0.6	  73311 	 5.52e-002 	 9.50e-005 	 2.385 	 66.7% 	 14.3 	 12.6 	 2.3 	 292.5 	
 298920		    765 	  672.0	   570.000	  14.1	   23.3	   47.6	    765	  70.5	 298920	  0.902	   43.2	    0.5	  73479 	 5.53e-002 	 1.07e-004 	 2.321 	 66.2% 	 14.0 	 11.0 	 2.4 	 282.9 	
 299525		    766 	  605.0	   390.000	  14.1	   24.9	   46.0	    766	  70.6	 299525	  0.898	   42.3	    0.5	  73631 	 5.53e-002 	 1.05e-004 	 2.479 	 67.5% 	 14.5 	 11.6 	 2.3 	 282.6 	
 299888		    767 	  363.0	   240.000	  12.9	   29.1	   47.9	    767	  64.5	 299888	  0.898	   44.3	    0.5	  73721 	 5.54e-002 	 7.78e-005 	 2.721 	 66.2% 	 14.7 	 11.6 	 2.1 	 307.8 	
 300406		    768 	  518.0	   295.000	  15.6	   21.0	   43.4	    768	  77.6	 300406	  0.878	   39.7	    0.5	  73851 	 5.54e-002 	 8.11e-005 	 2.342 	 67.0% 	 12.8 	 9.6 	 2.2 	 256.3 	
 300781		    769 	  375.0	   140.000	  15.0	   25.3	   41.3	    769	  74.9	 300781	  0.848	   38.9	    0.6	  73945 	 5.54e-002 	 1.19e-004 	 2.477 	 66.0% 	 13.6 	 10.9 	 2.2 	 264.8 	
 301137		    770 	  356.0	   155.000	  15.7	   20.9	   42.2	    770	  78.8	 301137	  0.888	   39.1	    0.6	  74034 	 5.55e-002 	 6.83e-005 	 2.568 	 68.0% 	 13.0 	 10.6 	 2.3 	 252.3 	
 301447		    771 	  310.0	   195.000	  15.1	   23.7	   41.8	    771	  75.6	 301447	  0.926	   38.1	    0.6	  74111 	 5.55e-002 	 7.42e-005 	 2.608 	 65.3% 	 13.3 	 11.2 	 2.3 	 261.0 	
 301898		    772 	  451.0	   275.000	  13.2	   25.0	   50.8	    772	  65.9	 301898	  0.878	   46.8	    0.7	  74224 	 5.55e-002 	 1.27e-004 	 2.436 	 64.9% 	 14.7 	 12.5 	 2.4 	 301.6 	
 302276		    773 	  378.0	   210.000	  12.0	   30.1	   52.6	    773	  60.3	 302276	  0.897	   49.0	    0.7	  74318 	 5.56e-002 	 6.32e-005 	 2.519 	 67.5% 	 15.8 	 14.8 	 2.4 	 330.5 	
 302547		    774 	  271.0	   110.000	  12.7	   27.1	   51.3	    774	  63.6	 302547	  0.904	   47.3	    0.8	  74386 	 5.56e-002 	 1.11e-004 	 2.592 	 64.5% 	 15.3 	 14.0 	 2.3 	 312.4 	
 302913		    775 	  366.0	   210.000	  14.1	   25.8	   45.4	    775	  70.0	 302913	  0.899	   40.9	    0.6	  74478 	 5.56e-002 	 1.19e-004 	 2.376 	 66.7% 	 13.8 	 12.2 	 2.5 	 283.1 	
 303278		    776 	  365.0	   235.000	  13.5	   26.0	   47.6	    776	  67.5	 303278	  0.858	   44.3	    0.6	  74569 	 5.56e-002 	 1.38e-004 	 2.465 	 67.4% 	 15.3 	 12.3 	 2.4 	 292.9 	
 303557		    777 	  279.0	   150.000	  15.2	   23.1	   42.2	    777	  76.3	 303557	  0.903	   38.7	    0.6	  74639 	 5.57e-002 	 1.11e-004 	 2.467 	 68.3% 	 13.2 	 10.6 	 2.6 	 259.7 	
 304015		    778 	  458.0	   230.000	  15.3	   21.5	   43.4	    778	  76.6	 304015	  0.928	   39.9	    0.6	  74753 	 5.57e-002 	 8.74e-005 	 2.351 	 67.9% 	 13.0 	 10.4 	 2.2 	 258.7 	
 304671		    779 	  656.0	   515.000	  15.1	   18.9	   47.1	    779	  75.7	 304671	  0.922	   43.2	    0.6	  74917 	 5.58e-002 	 1.11e-004 	 2.473 	 67.4% 	 13.1 	 10.2 	 2.3 	 262.9 	
 304965		    780 	  294.0	   180.000	  15.7	   20.1	   44.0	    780	  77.9	 304965	  0.908	   40.7	    0.6	  74991 	 5.58e-002 	 7.29e-005 	 2.402 	 64.7% 	 13.4 	 8.8 	 2.2 	 253.6 	
 305179		    781 	  214.0	    80.000	  13.7	   23.2	   49.1	    781	  68.6	 305179	  0.916	   45.1	    0.7	  75044 	 5.58e-002 	 8.82e-005 	 2.562 	 65.3% 	 13.5 	 11.7 	 2.3 	 287.5 	
 305592		    782 	  413.0	   295.000	  12.7	   25.7	   52.8	    782	  63.7	 305592	  0.881	   49.4	    0.8	  75147 	 5.58e-002 	 1.11e-004 	 2.403 	 66.3% 	 14.7 	 12.5 	 2.2 	 313.0 	
 306027		    783 	  435.0	   260.000	  14.7	   21.7	   46.4	    783	  73.3	 306027	  0.936	   42.6	    0.7	  75256 	 5.59e-002 	 7.99e-005 	 2.519 	 66.1% 	 13.7 	 11.6 	 2.3 	 271.2 	
 306392		    784 	  365.0	   205.000	  16.0	   16.3	   46.2	    784	  80.0	 306392	  0.896	   42.6	    0.7	  75347 	 5.59e-002 	 1.04e-004 	 2.215 	 66.1% 	 12.3 	 6.0 	 2.4 	 248.4 	
 306985		    785 	  593.0	   420.000	  15.8	   15.4	   47.8	    785	  79.0	 306985	  0.909	   43.5	    0.7	  75496 	 5.60e-002 	 1.01e-004 	 2.389 	 66.8% 	 12.6 	 6.0 	 2.6 	 252.3 	
 307650		    786 	  665.0	   370.000	  15.7	   19.5	   44.0	    786	  78.4	 307650	  0.917	   37.7	    0.7	  75662 	 5.60e-002 	 7.74e-005 	 2.488 	 66.6% 	 14.3 	 7.2 	 2.3 	 253.3 	
 308120		    787 	  470.0	   325.000	  16.6	   18.7	   41.4	    787	  83.0	 308120	  0.909	   36.6	    0.6	  75779 	 5.61e-002 	 1.10e-004 	 2.594 	 66.0% 	 13.8 	 6.9 	 2.4 	 239.6 	
 308732		    788 	  612.0	   365.000	  16.1	   21.2	   40.8	    788	  80.6	 308732	  0.905	   37.2	    0.6	  75932 	 5.61e-002 	 8.53e-005 	 2.340 	 66.1% 	 13.9 	 7.1 	 2.3 	 247.4 	
 309231		    789 	  499.0	   285.000	  13.0	   25.1	   52.0	    789	  64.7	 309231	  0.888	   48.1	    0.7	  76057 	 5.61e-002 	 1.00e-004 	 2.382 	 66.5% 	 13.5 	 11.5 	 2.3 	 307.1 	
 309464		    790 	  233.0	   140.000	  14.2	   25.9	   44.1	    790	  71.3	 309464	  0.867	   41.1	    0.6	  76115 	 5.62e-002 	 1.16e-004 	 2.486 	 66.2% 	 13.7 	 11.7 	 2.7 	 278.9 	
 309711		    791 	  247.0	   140.000	  14.3	   26.3	   43.8	    791	  71.2	 309711	  0.887	   41.2	    0.8	  76177 	 5.62e-002 	 8.03e-005 	 2.498 	 65.8% 	 14.1 	 11.2 	 2.3 	 278.4 	
 309989		    792 	  278.0	   155.000	  13.8	   25.0	   47.9	    792	  68.5	 309989	  0.906	   44.4	    0.8	  76247 	 5.62e-002 	 7.58e-005 	 2.526 	 64.9% 	 13.5 	 11.8 	 2.4 	 289.0 	
 310440		    793 	  451.0	   270.000	  14.7	   24.9	   42.6	    793	  73.8	 310440	  0.891	   39.0	    0.7	  76359 	 5.62e-002 	 8.26e-005 	 2.473 	 67.2% 	 13.8 	 11.3 	 2.4 	 269.6 	
 310982		    794 	  542.0	   510.000	  10.4	   27.1	   69.4	    794	  51.8	 310982	  0.908	   65.9	    0.9	  76495 	 5.63e-002 	 8.71e-005 	 2.431 	 66.5% 	 14.7 	 12.5 	 2.4 	 383.9 	
 311399		    795 	  417.0	   360.000	  15.1	   21.0	   44.9	    795	  75.7	 311399	  0.914	   40.1	    0.7	  76599 	 5.63e-002 	 9.65e-005 	 2.463 	 65.7% 	 13.1 	 10.5 	 2.2 	 261.7 	
