EXP_STEP 	 episode	 #step 	 r_episode 	   fps	  T_env	T_agent	AGENT_T	 active	T_actor	   T_mt	 DCNN_EPOCH 	 weight_avg 	 delta_avg 	 L1 	 acc. 	 T_fp 	 T_bp 	 T_sgd 	T_batch	#report	clock	
  10114	   2101 -    2200	    4.6	    -0.950	 671.9	    0.2	    1.3	   7915	  0.031	    1.3	    0.4	    729 	 3.47e-002 	 2.93e-004 	 0.184 	 81.5% 	 0.1 	 0.1 	 0.8 	 7.2 	     21	0.00h
  10576	   2201 -    2300	    4.6	    -0.940	 783.1	    0.2	    1.1	   8277	  0.039	    1.1	    0.4	    820 	 3.47e-002 	 1.72e-004 	 0.191 	 81.7% 	 0.1 	 0.1 	 0.2 	 6.1 	     22	0.00h
  11020	   2301 -    2400	    4.4	    -0.960	 624.5	    0.3	    1.3	   8621	  0.041	    1.3	    0.5	    906 	 3.50e-002 	 1.52e-004 	 0.194 	 81.8% 	 0.1 	 0.1 	 0.1 	 7.7 	     23	0.00h
  11492	   2401 -    2500	    4.7	    -0.950	 742.2	    0.2	    1.2	   8993	  0.038	    1.1	    0.4	    999 	 3.50e-002 	 1.79e-004 	 0.181 	 82.4% 	 0.1 	 0.1 	 0.2 	 6.4 	     24	0.00h
  11950	   2501 -    2600	    4.6	    -0.940	 612.5	    0.2	    1.5	   9351	  0.042	    1.5	    0.4	   1088 	 3.50e-002 	 1.48e-004 	 0.191 	 81.9% 	 0.1 	 0.1 	 0.2 	 7.9 	     25	0.00h
  12413	   2601 -    2700	    4.6	    -0.910	 637.3	    0.2	    1.4	   9714	  0.030	    1.4	    0.5	   1179 	 3.50e-002 	 1.61e-004 	 0.176 	 83.2% 	 0.1 	 0.1 	 0.2 	 7.5 	     26	0.00h
  12872	   2701 -    2800	    4.6	    -0.910	 439.5	    0.2	    2.1	  10073	  0.047	    2.3	    0.5	   1269 	 3.50e-002 	 1.35e-004 	 0.178 	 82.5% 	 0.1 	 0.1 	 0.2 	 10.7 	     27	0.00h
  13315	   2801 -    2900	    4.4	    -0.930	 449.5	    0.1	    2.1	  10416	  0.029	    2.4	    0.5	   1354 	 3.51e-002 	 1.20e-004 	 0.194 	 82.6% 	 0.1 	 0.0 	 0.2 	 10.9 	     28	0.00h
  13767	   2901 -    3000	    4.5	    -0.980	 488.3	    0.2	    1.9	  10768	  0.026	    2.1	    0.6	   1442 	 3.52e-002 	 1.36e-004 	 0.179 	 82.4% 	 0.1 	 0.1 	 0.1 	 10.0 	     29	0.01h
  14233	   3001 -    3100	    4.7	    -0.950	 511.4	    0.1	    1.8	  11134	  0.063	    2.0	    0.5	   1534 	 3.54e-002 	 1.40e-004 	 0.177 	 82.2% 	 0.1 	 0.1 	 0.2 	 9.4 	     30	0.01h
