EXP_STEP 	 episode	 #step 	 r_episode 	   fps	  T_env	T_agent	AGENT_T	 active	T_actor	   T_mt	 DCNN_EPOCH 	 weight_avg 	 delta_avg 	 L1 	 acc. 	 T_fp 	 T_bp 	 T_sgd 	T_batch	AGENT_T	 active	T_actor	   T_mt	 DCNN_EPOCH 	 weight_avg 	 delta_avg 	 L1 	 acc. 	 T_fp 	 T_bp 	 T_sgd 	T_batch	#report	clock	
   6132	   1201 -    1300	    4.9	    -0.010	  87.5	    5.2	    6.1	   4842	  0.000	    6.8	    0.0	      0 	 2.71e-002 	 0.00e+000 	 0.000 	 0.0% 	 0.0 	 0.0 	 0.0 	 0.0 	   4833	  0.000	    7.7	    0.0	      0 	 2.71e-002 	 0.00e+000 	 0.000 	 0.0% 	 0.0 	 0.0 	 0.0 	 0.0 	     12	0.02h
   6604	   1301 -    1400	    4.7	    -0.090	  65.4	    8.1	    7.2	   5217	  0.000	    8.9	    0.0	     54 	 2.72e-002 	 1.56e-004 	 0.277 	 74.5% 	 0.5 	 0.5 	 0.6 	 89.5 	   5205	  0.000	    8.4	    0.1	     51 	 2.73e-002 	 1.76e-004 	 0.290 	 73.7% 	 0.7 	 0.4 	 0.4 	 88.0 	     13	0.02h
   7083	   1401 -    1500	    4.8	     0.010	  60.6	    8.3	    8.1	   5590	  0.000	    8.0	    0.1	    147 	 2.74e-002 	 2.04e-004 	 0.301 	 71.9% 	 0.4 	 0.4 	 0.3 	 82.4 	   5584	  0.000	    8.6	    0.5	    145 	 2.75e-002 	 1.30e-004 	 0.282 	 75.4% 	 0.7 	 0.4 	 0.4 	 82.1 	     14	0.02h
   7558	   1501 -    1600	    4.8	    -0.060	  63.1	    8.6	    7.3	   5971	  0.010	    8.5	    0.1	    242 	 2.76e-002 	 1.97e-004 	 0.278 	 75.3% 	 0.6 	 0.3 	 0.5 	 76.8 	   5959	  0.011	    7.8	    0.4	    239 	 2.77e-002 	 1.72e-004 	 0.268 	 75.0% 	 0.5 	 0.5 	 0.5 	 79.7 	     15	0.03h
   8033	   1601 -    1700	    4.8	    -0.030	  63.5	    7.9	    7.9	   6350	  0.018	    8.2	    0.1	    337 	 2.80e-002 	 9.72e-005 	 0.276 	 75.1% 	 0.3 	 0.2 	 0.4 	 78.5 	   6334	  0.019	    8.1	    0.1	    333 	 2.79e-002 	 1.57e-004 	 0.262 	 75.3% 	 0.6 	 0.4 	 0.7 	 79.3 	     16	0.03h
   8516	   1701 -    1800	    4.8	    -0.030	  62.1	    8.5	    7.6	   6736	  0.016	    8.4	    0.1	    433 	 2.82e-002 	 1.60e-004 	 0.262 	 74.5% 	 0.4 	 0.3 	 1.1 	 80.9 	   6717	  0.016	    8.1	    0.1	    429 	 2.83e-002 	 1.59e-004 	 0.284 	 75.6% 	 0.7 	 0.4 	 0.6 	 80.9 	     17	0.03h
   8984	   1801 -    1900	    4.7	     0.040	  68.3	    6.4	    8.2	   7100	  0.019	    7.2	    0.5	    524 	 2.85e-002 	 2.02e-004 	 0.262 	 74.0% 	 0.4 	 0.3 	 0.7 	 74.6 	   7085	  0.019	    9.6	    0.1	    521 	 2.86e-002 	 1.11e-004 	 0.262 	 76.9% 	 0.6 	 0.5 	 0.7 	 72.6 	     18	0.03h
   9465	   1901 -    2000	    4.8	     0.090	  61.7	    8.7	    7.1	   7484	  0.029	    9.3	    0.7	    620 	 2.90e-002 	 1.76e-004 	 0.279 	 74.9% 	 0.5 	 0.2 	 0.2 	 78.8 	   7466	  0.029	    7.8	    0.1	    616 	 2.89e-002 	 2.18e-004 	 0.268 	 78.2% 	 0.6 	 0.5 	 0.2 	 79.3 	     19	0.03h
   9940	   2001 -    2100	    4.8	     0.040	  60.5	    9.2	    7.4	   7857	  0.035	   10.6	    0.1	    714 	 2.94e-002 	 1.67e-004 	 0.272 	 75.9% 	 0.4 	 0.4 	 0.4 	 83.5 	   7841	  0.035	    8.8	    0.1	    710 	 2.91e-002 	 1.73e-004 	 0.285 	 77.4% 	 0.5 	 0.5 	 0.5 	 83.2 	     20	0.04h
  10404	   2101 -    2200	    4.6	     0.040	  66.7	    7.9	    7.1	   8220	  0.044	    8.7	    0.4	    804 	 2.98e-002 	 1.61e-004 	 0.282 	 75.7% 	 0.4 	 0.5 	 1.2 	 74.0 	   8205	  0.044	    7.8	    0.1	    801 	 2.95e-002 	 1.86e-004 	 0.270 	 77.3% 	 0.5 	 0.5 	 1.2 	 73.6 	     21	0.04h
